"name","iso","country","entity_type","region","area","area_units","gdp","initiatives_committed","num_commit","lat","lng","population","population_year","state"
"!Kheis","ZAF","South Africa","City","Sub-Saharan Africa",11107,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,-30.4620482,17.9929881,16637,2011,"Northern Cape"
"Àger","ESP","Spain","City","Europe",160.6,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,42.0000879,0.7632247,590,2018,"Lleida"
"Águeda","PRT","Portugal","City","Europe",335.27,"km2",NA,"CDPCities2018;GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",4,40.5753,-8.44582,47729,2011,"Centro"
"Águilas","ESP","Spain","City","Europe",251.77,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,37.4099628,-1.5804921,34828,2018,"Murcia"
"Álora","ESP","Spain","City","Europe",79.26,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,36.839681,-4.707062,13499,2018,"Málaga"
"Árchez","ESP","Spain","City","Europe",4.8,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,36.83888889,-3.990555556,437,2018,"Málaga"
"Ávila","ESP","Spain","City","Europe",36.4,"ha",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,40.656478,-4.7002171,58915,2018,"Avila"
"Älmhults","SWE","Sweden","City","Europe",8.78,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,56.55,14.116667,15570,2010,"Småland"
"Älvsbyn","SWE","Sweden","City","Europe",6.35,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,65.68333333,21.01666667,8274,2010,"Norrbotten County"
"Ängelholm","SWE","Sweden","City","Europe",12.83,"km2",NA,"Carbonn2019",1,56.25,12.85,39612,2017,"Skåne"
"Å empeter-Vrtojba","SVN","Slovenia","City","Europe",15,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,45.916667,13.65,6269,NA,"Šempeter–Vrtojba"
"Ålesund","NOR","Norway","City","Europe",93.17,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,62.47777778,6.190277778,42317,2017,"Møre og Romsdal"
"Ærø","DNK","Denmark","City","Europe",NA,"",NA,"CDPCities2018;GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",4,54.8914,10.4047,6180,2017,"South Denmark Region"
"Çankaya","TUR","Turkey","City","Eastern Europe and Central Asia",NA,"",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,40.83416667,36.32666667,914501,NA,"Tasova"
"Écija","ESP","Spain","City","Europe",978.73,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,37.53333333,-5.083333333,40100,2018,"Seville"
"Épila","ESP","Spain","City","Europe",19432,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,41.6,-1.283055556,4746,2018,"Aragon"
"Évora","PRT","Portugal","City","Europe",1307.08,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,38.56666667,-7.9,57791,2011,"Alentejo"
"Ílhavo","PRT","Portugal","City","Europe",73.48,"km2",NA,"CDPCities2018;EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",4,38.85,-7.58,38598,2017,"Centro"
