"name","iso","entity_type","country","area","num_commit","lat","lng","population","population_year","state","admin_1","initiatives_committed","region"
"!Kheis","ZAF","City","South Africa","11107",2,-30.4620482,17.9929881,16637,2011,"Northern Cape",NA,"GlobalCovenantofMayors2019;NAZCA","Sub-Saharan Africa"
"25 De Mayo","ARG","City","Argentina",NA,3,-35.416667,-60.166667,23408,2010,"Buenos Aires","Veinticinco de Mayo","NAZCA2020;;DDLNetZeroDB2020;;RacetoZero2020;NAZCA2020","Latin America and Caribbean"
"A Bakonyert","HUN","City","Hungary",NA,3,47.26332,17.87192,27000,NA,NA,NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"A BANA","ESP","City","Spain","98.63",2,42.967,-8.767,3389,2021,"A Coruna","Galicia","EUCovenantofMayors2022;;GCoM2022","Europe"
"A Caniza","ESP","City","Spain","108.1",2,42.21278,-8.27444,5173,2018,"Pontevedra","Galicia","EUCovenantofMayors2022;;GCoM2022","Europe"
"A Capela","ESP","City","Spain","58",3,43.5859,-7.7706194,1238,2018,"A Coruna","Galicia","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"A Coruna","ESP","City","Spain","37.83",3,43.365,-8.41,245468,2021,"A Coruna",NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"A Estrada","ESP","City","Spain",NA,3,42.7,-8.483,20661,2018,"Pontevedra","Pontevedra","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"A Fonsagrada","ESP","City","Spain",NA,3,43.133,-7.067,3589,NA,NA,NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"A GUARDA","ESP","City","Spain","20.5",3,41.90167,-8.87528,10013,2018,"Pontevedra","Pontevedra","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"A ILLA DE AROUSA","ESP","City","Spain","7",3,42.55444,-8.86389,4958,2018,"Pontevedra","Pontevedra","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"A Lama","ESP","City","Spain",NA,3,42.391,-8.444,2430,2018,"Pontevedra","Galicia","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"A MERCA","ESP","City","Spain","51",3,42.22306,-7.90528,1911,2018,"Ourense","Ourense","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"A Mezquita","ESP","City","Spain","104.3",3,42.01139,-7.04528,1039,2018,"Ourense","Ourense","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"A Peroxa","ESP","City","Spain","54.5",3,42.43889,-7.79333,1871,2018,"Ourense","Ourense","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"A Pobra de Trives","ESP","City","Spain","84.2",3,42.33944,-7.25306,2118,2018,"Ourense","Ourense","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"A POBRA DO BROLLON","ESP","City","Spain",NA,3,42.733,-7.3,1685,NA,NA,NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
