name,iso,entity_type,country,area,num_commit,lat,lng,population,population_year,state,admin_1,region,initiatives_committed
!Kheis,ZAF,City,South Africa,11107,2,-30.4620482,17.9929881,16637,2011,Northern Cape,,Sub-Saharan Africa,GlobalCovenantofMayors2019;NAZCA
25 De Mayo,ARG,City,Argentina,NA,2,-35.416667,-60.166667,23408,2010,Buenos Aires,Veinticinco de Mayo,Latin America and Caribbean,NAZCA2020;DDLNetZeroDB2020;RacetoZero2020ZCA2020
A BAÑA,ESP,City,Spain,98.63,NA,42.967,-8.767000000000001,3967,2018,A Coruña,A Coruña,Europe,EUCovenantofMayors2021
A Bola,ESP,City,Spain,34.9,3,42.15194444,-7.913888889,1339,2018,Cáceres,Terra de Celanova,Europe,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021
A Cañiza,ESP,City,Spain,108.1,NA,42.21278,-8.27444,5173,2018,Pontevedra,Pontevedra,Europe,EUCovenantofMayors2021
A Coruña,ESP,City,Spain,37.83,4,43.3712091,-8.3958767,247482,2018,NA,,Europe,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021
Å empeter-Vrtojba,SVN,City,Slovenia,15,3,45.916667,13.65,6269,NA,Šempeter–Vrtojba,,Europe,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021
A Estrada,ESP,City,Spain,NA,NA,42.7,-8.482999999999999,20661,2018,Pontevedra,Pontevedra,Europe,EUCovenantofMayors2021
A GUARDA,ESP,City,Spain,20.5,NA,41.90167,-8.87528,10013,2018,Pontevedra,Pontevedra,Europe,EUCovenantofMayors2021
A ILLA DE AROUSA,ESP,City,Spain,7,NA,42.55444,-8.86389,4958,2018,Pontevedra,Pontevedra,Europe,EUCovenantofMayors2021
A LARACHA,ESP,City,Spain,125.95,NA,43.24861,-8.58333,11302,2018,A Coruña,Carballo,Europe,EUCovenantofMayors2021
A MERCA,ESP,City,Spain,51,NA,42.22306,-7.90528,1911,2018,Ourense,Ourense,Europe,EUCovenantofMayors2021
A Mezquita,ESP,City,Spain,104.3,NA,42.011390000000006,-7.04528,1039,2018,Ourense,Ourense,Europe,EUCovenantofMayors2021
A Peroxa,ESP,City,Spain,54.5,NA,42.43889,-7.79333,1871,2018,Ourense,Ourense,Europe,EUCovenantofMayors2021
