name,iso,entity_type,country,area,initiatives_committed,num_commit,lat,lng,population,population_year,state,admin_1,region
Abegondo,ESP,City,Spain,83.81,GlobalCovenantofMayors2019;NAZCA,2,43.21912,-8.297905,7509,2018,A Coruña,,Europe
Aci Sant'Antonio,ITA,City,Italy,14.33,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,37.6064186,15.1260733,17479,NA,Catania,,Europe
Acquanegra sul Chiese,ITA,City,Italy,28.01,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.16666667,10.43333333,3016,NA,Mantua,,Europe
Aggregazione BERNEZZO,ITA,City,Italy,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019,2,44.3886068,7.4332093,5631,NA,Cuneo,,Europe
Aggregazione MARENE,ITA,City,Italy,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019,2,44.6615577,7.7270091,5359,NA,Cuneo,,Europe
Aggregazione Sommariva del Bosco,ITA,City,Italy,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019,2,44.768741,7.78533,21367,NA,Cuneo,,Europe
Aguilar de Segarra,ESP,City,Spain,43.3,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.7394902,1.6316676,257,2018,Barcelona Province,Bages,Europe
Aiello del Sabato,ITA,City,Italy,10.87,GlobalCovenantofMayors2019;NAZCA,2,40.884294,14.816278,4050,NA,Avellino,,Europe
Ajuntament d'Espinelves,ESP,City,Spain,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.8686935,2.4177195,201,NA,Girona,Osona,Europe
Alano di Piave,ITA,City,Italy,36.52,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,45.907803,11.9081948,2881,NA,Belluno,,Europe
Albalat de la Ribera,ESP,City,Spain,14.29,GlobalCovenantofMayors2019;NAZCA,2,39.2012627,-0.3866467,3485,2018,Valencia,Ribera Baixa,Europe
Albánchez de Mágina,ESP,City,Spain,39,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.79166667,-3.45,1326,2018,Jaén,Albanchez de Mágina,Europe
Albano di Lucania,ITA,City,Italy,55.87,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,40.587058,16.037129,1502,NA,Potenza,,Europe
Albano Sant'Alessandro,ITA,City,Italy,5.35,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.68333333,9.75,8075,NA,Bergamo,,Europe
Albaredo d'Adige,ITA,City,Italy,28.25,GlobalCovenantofMayors2019;NAZCA,2,45.316997,11.276161,5179,NA,Verona,,Europe
Albergaria-a-Velha,PRT,City,Portugal,158.83,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,40.69333333,-8.481111111,25252,2011,Centro,Aveiro,Europe
Alcalá de Guadaíra,ESP,City,Spain,284.61,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,37.3397709,-5.8408395,72100,2018,Seville,,Europe
Alcalá de los Gazules,ESP,City,Spain,479.59,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,36.46666667,-5.716666667,5619,2018,Cádiz,La Janda,Europe
Alcalá del Valle,ESP,City,Spain,46.89,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,36.905066,-5.1726099,5300,2018,Cádiz,Sierra de Cádiz,Europe
Alcalá la Real,ESP,City,Spain,262,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,37.45,-3.916666667,22129,2018,Jaén,Sierra Sur de Jaén,Europe
Alcàntera de Xúquer,ESP,City,Spain,3.3,GlobalCovenantofMayors2019;NAZCA,2,39.0694393,-0.5601547,1350,2018,Valencia,Ribera Alta,Europe
Alcara li Fusi,ITA,City,Italy,62.94,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,38.01666667,14.7,2473,NA,Sicily,Messina,Europe
